raceId,driverId,lapNumber,compound
2025_R01,LAW,5.0,INTERMEDIATE
2025_R01,LAW,6.0,INTERMEDIATE
2025_R01,LAW,7.0,INTERMEDIATE
2025_R01,LAW,8.0,INTERMEDIATE
2025_R01,LAW,9.0,INTERMEDIATE
2025_R01,LAW,10.0,INTERMEDIATE
2025_R01,LAW,11.0,INTERMEDIATE
2025_R01,LAW,12.0,INTERMEDIATE
2025_R01,LAW,13.0,INTERMEDIATE
2025_R01,LAW,14.0,INTERMEDIATE
2025_R01,LAW,15.0,INTERMEDIATE
2025_R01,LAW,16.0,INTERMEDIATE
2025_R01,LAW,17.0,INTERMEDIATE
2025_R01,LAW,18.0,INTERMEDIATE
2025_R01,LAW,19.0,INTERMEDIATE
2025_R01,LAW,20.0,INTERMEDIATE
2025_R01,LAW,21.0,INTERMEDIATE
2025_R01,LAW,22.0,INTERMEDIATE
2025_R01,LAW,23.0,INTERMEDIATE
2025_R01,LAW,24.0,INTERMEDIATE
2025_R01,LAW,25.0,INTERMEDIATE
2025_R01,LAW,26.0,INTERMEDIATE
2025_R01,LAW,27.0,INTERMEDIATE
2025_R01,LAW,28.0,INTERMEDIATE
2025_R01,LAW,29.0,INTERMEDIATE
2025_R01,LAW,30.0,INTERMEDIATE
2025_R01,LAW,31.0,INTERMEDIATE
2025_R01,LAW,32.0,INTERMEDIATE
2025_R01,LAW,33.0,INTERMEDIATE
2025_R01,LAW,34.0,MEDIUM
2025_R01,LAW,35.0,MEDIUM
2025_R01,LAW,36.0,MEDIUM
2025_R01,LAW,37.0,MEDIUM
2025_R01,LAW,38.0,MEDIUM
2025_R01,LAW,39.0,MEDIUM
2025_R01,LAW,40.0,MEDIUM
2025_R01,LAW,41.0,MEDIUM
2025_R01,LAW,42.0,MEDIUM
2025_R01,LAW,43.0,MEDIUM
2025_R01,LAW,44.0,MEDIUM
2025_R01,LAW,45.0,MEDIUM
2025_R01,LAW,46.0,MEDIUM
2025_R01,LAW,47.0,MEDIUM
2025_R01,OCO,1.0,INTERMEDIATE
2025_R01,OCO,2.0,INTERMEDIATE
2025_R01,OCO,3.0,INTERMEDIATE
2025_R01,OCO,4.0,INTERMEDIATE
2025_R01,OCO,5.0,INTERMEDIATE
2025_R01,OCO,6.0,INTERMEDIATE
2025_R01,OCO,7.0,INTERMEDIATE
2025_R01,OCO,8.0,INTERMEDIATE
2025_R01,OCO,9.0,INTERMEDIATE
2025_R01,OCO,10.0,INTERMEDIATE
2025_R01,OCO,11.0,INTERMEDIATE
2025_R01,OCO,12.0,INTERMEDIATE
2025_R01,OCO,13.0,INTERMEDIATE
2025_R01,OCO,14.0,INTERMEDIATE
2025_R01,OCO,15.0,INTERMEDIATE
2025_R01,OCO,16.0,INTERMEDIATE
2025_R01,OCO,17.0,INTERMEDIATE
2025_R01,OCO,18.0,INTERMEDIATE
2025_R01,OCO,19.0,INTERMEDIATE
2025_R01,OCO,20.0,INTERMEDIATE
2025_R01,OCO,21.0,INTERMEDIATE
2025_R01,OCO,22.0,INTERMEDIATE
2025_R01,OCO,23.0,INTERMEDIATE
2025_R01,OCO,24.0,INTERMEDIATE
2025_R01,OCO,25.0,INTERMEDIATE
2025_R01,OCO,26.0,INTERMEDIATE
2025_R01,OCO,27.0,INTERMEDIATE
2025_R01,OCO,28.0,INTERMEDIATE
2025_R01,OCO,29.0,INTERMEDIATE
2025_R01,OCO,30.0,INTERMEDIATE
2025_R01,OCO,31.0,INTERMEDIATE
2025_R01,OCO,32.0,INTERMEDIATE
2025_R01,OCO,33.0,INTERMEDIATE
2025_R01,OCO,34.0,INTERMEDIATE
2025_R01,OCO,35.0,INTERMEDIATE
2025_R01,OCO,36.0,INTERMEDIATE
2025_R01,OCO,37.0,INTERMEDIATE
2025_R01,OCO,38.0,INTERMEDIATE
2025_R01,OCO,39.0,INTERMEDIATE
2025_R01,OCO,40.0,MEDIUM
2025_R01,OCO,41.0,MEDIUM
2025_R01,OCO,42.0,MEDIUM
2025_R01,OCO,43.0,MEDIUM
2025_R01,OCO,44.0,MEDIUM
2025_R01,OCO,45.0,MEDIUM
2025_R01,OCO,46.0,MEDIUM
2025_R01,OCO,47.0,INTERMEDIATE
2025_R01,OCO,48.0,INTERMEDIATE
2025_R01,OCO,49.0,INTERMEDIATE
2025_R01,OCO,50.0,INTERMEDIATE
2025_R01,OCO,51.0,INTERMEDIATE
2025_R01,OCO,52.0,INTERMEDIATE
2025_R01,OCO,53.0,INTERMEDIATE
2025_R01,OCO,54.0,INTERMEDIATE
2025_R01,OCO,55.0,INTERMEDIATE
2025_R01,OCO,56.0,INTERMEDIATE
2025_R01,OCO,57.0,INTERMEDIATE
2025_R01,NOR,1.0,INTERMEDIATE
2025_R01,NOR,2.0,INTERMEDIATE
2025_R01,NOR,3.0,INTERMEDIATE
2025_R01,NOR,4.0,INTERMEDIATE
2025_R01,NOR,5.0,INTERMEDIATE
2025_R01,NOR,6.0,INTERMEDIATE
2025_R01,NOR,7.0,INTERMEDIATE
2025_R01,NOR,8.0,INTERMEDIATE
2025_R01,NOR,9.0,INTERMEDIATE
2025_R01,NOR,10.0,INTERMEDIATE
2025_R01,NOR,11.0,INTERMEDIATE
2025_R01,NOR,12.0,INTERMEDIATE
